2019-11-06 16:55:33 INFO  String:195 - Student Operation: student 111111111 has not selected course 369369;
@2019-11-06 16:55:33 INFO  String:205 - Student Operation: student 111111111 has not registered for course 369369;
@2019-11-06 16:55:33 INFO  String:182 - Student Operation: student 111111111 deregister course 369369; State: Fail; Reason: student hasn't registered this course or student has completed this course
@2019-11-06 16:55:33 INFO  String:291 - Course Operation: Remove student 222222222 from course 369369; State: Fail; Reason: The student has not registered.
@2019-11-06 16:55:33 INFO  String:195 - Student Operation: student 222222222 has not selected course 369369;
@2019-11-06 16:55:33 INFO  String:205 - Student Operation: student 222222222 has not registered for course 369369;
@2019-11-06 16:55:33 INFO  String:182 - Student Operation: student 222222222 deregister course 369369; State: Fail; Reason: student hasn't registered this course or student has completed this course
@2019-11-06 16:55:33 INFO  String:291 - Course Operation: Remove student 333333333 from course 369369; State: Fail; Reason: The student has not registered.
@2019-11-06 16:55:33 INFO  String:195 - Student Operation: student 333333333 has not selected course 369369;
@2019-11-06 16:55:33 INFO  String:205 - Student Operation: student 333333333 has not registered for course 369369;
@2019-11-06 16:55:33 INFO  String:182 - Student Operation: student 333333333 deregister course 369369; State: Fail; Reason: student hasn't registered this course or student has completed this course
@2019-11-06 16:55:33 INFO  String:291 - Course Operation: Remove student 444444444 from course 369369; State: Fail; Reason: The student has not registered.
@2019-11-06 16:55:33 INFO  String:195 - Student Operation: student 444444444 has not selected course 369369;
@2019-11-06 16:55:33 INFO  String:205 - Student Operation: student 444444444 has not registered for course 369369;
@2019-11-06 16:55:33 INFO  String:182 - Student Operation: student 444444444 deregister course 369369; State: Fail; Reason: student hasn't registered this course or student has completed this course
@2019-11-06 16:55:33 INFO  String:291 - Course Operation: Remove student 555555555 from course 369369; State: Fail; Reason: The student has not registered.
@2019-11-06 16:55:33 INFO  String:195 - Student Operation: student 555555555 has not selected course 369369;
@2019-11-06 16:55:33 INFO  String:205 - Student Operation: student 555555555 has not registered for course 369369;
@2019-11-06 16:55:33 INFO  String:182 - Student Operation: student 555555555 deregister course 369369; State: Fail; Reason: student hasn't registered this course or student has completed this course
@2019-11-06 16:55:33 INFO  String:460 - University Operation: cancel course 369369; State: Success
@2019-11-06 16:55:33 INFO  ATServer:126 - Output to 127.0.0.1:51590 369369 
Success!

@2019-11-06 16:55:33 INFO  ATServer:116 - Input from 127.0.0.1:51590 
@2019-11-06 16:55:33 INFO  ATServer:126 - Output to 127.0.0.1:51590 Please select from the menu.Menu: Create Course/Student, Delete Course/Student, Cancel Course, Dean's List.

@2019-11-06 16:55:33 INFO  ATServer:106 - Client: 51590 Exits
@2019-11-06 16:55:33 INFO  ATServer:110 - Client : 51590Exits
@2019-11-06 16:55:37 INFO  ATServer:116 - Input from 127.0.0.1:51594 Drop Course
@2019-11-06 16:55:37 INFO  String:229 - University Operation: Get student; Student info: 333333333; State: Success
@2019-11-06 16:55:37 INFO  ATServer:126 - Output to 127.0.0.1:51594 Drop course
Please Input Course Info: 'course code'
Available Course List: 
234567, 4109
234567

@2019-11-06 16:55:37 INFO  ATServer:116 - Input from 127.0.0.1:51594 234567
@2019-11-06 16:55:37 INFO  String:261 - University Operation: Check course; Course info: 234567; State: Success
@2019-11-06 16:55:37 INFO  String:229 - University Operation: Get student; Student info: 333333333; State: Success
@2019-11-06 16:55:37 INFO  String:243 - University Operation: Get course; Course info: 234567; State: Success
@2019-11-06 16:55:37 INFO  String:202 - Student Operation: student 333333333 has registered for course 234567;
@2019-11-06 16:55:37 INFO  String:215 - Student Operation: student 333333333 has not completed course 234567;
@2019-11-06 16:55:37 INFO  String:171 - Student Operation: student 333333333 drop course 234567; State: Success
@2019-11-06 16:55:37 INFO  ATServer:126 - Output to 127.0.0.1:51594 Success!

